NWA 2465 - H4 - 2D (µm),NWA 2465 - H4 - 3D - µ-CT (µm),Saratov - L4 - 2D (µm),Saratov - L4 - 3D (µm),NWA 7545 - LL4 - 2D (µm),NWA 7545 - LL4 - 3D (µm),NWA 2465 - H4 - 3D (µm)
96,113,129,182,188,244,85
96,135,161,182,229,253,92
110,149,172,192,229,259,97
111,149,173,193,237,293,99
119,149,173,207,240,295,101
124,151,176,213,243,297,106
131,153,187,219,252,300,106
132,160,188,223,253,301,125
133,169,188,225,253,309,127
135,172,190,227,257,319,131
140,173,191,227,261,323,137
142,176,192,228,262,330,138
145,188,193,229,264,334,139
146,188,200,231,265,335,139
148,189,202,236,272,340,140
148,194,205,238,273,349,140
150,203,207,239,273,362,144
151,204,208,240,275,365,146
157,206,210,240,279,367,146
157,208,210,242,279,368,151
159,215,211,242,280,369,152
161,215,212,243,282,369,155
162,219,212,246,282,386,159
163,219,213,248,287,388,159
163,236,214,250,290,389,159
167,240,214,252,296,398,161
168,243,215,253,296,401,162
170,244,216,253,296,401,163
171,247,216,255,297,405,164
173,250,219,257,300,406,164
173,254,221,257,301,408,168
174,257,222,258,302,409,168
174,257,226,262,303,409,169
176,257,227,263,305,413,170
177,257,230,263,309,416,170
178,259,230,263,310,417,171
178,259,232,264,311,417,172
178,260,232,266,312,418,173
178,262,233,267,314,422,181
178,262,234,270,314,423,181
180,264,235,274,314,427,182
180,264,235,274,316,434,183
182,266,236,277,318,434,183
184,266,237,281,319,437,187
185,266,237,281,319,439,187
186,266,237,281,321,439,188
188,266,237,282,325,439,190
188,266,237,282,325,440,193
189,268,238,283,326,441,194
190,270,239,285,326,445,194
191,274,240,285,326,445,196
192,276,243,285,330,450,197
194,278,243,286,331,451,197
194,279,244,286,332,451,199
195,281,247,286,333,453,199
198,285,248,286,336,456,200
198,286,250,287,337,457,201
199,287,250,288,337,458,203
200,292,251,290,338,461,204
201,295,251,291,339,466,205
202,296,252,291,340,466,205
203,296,253,292,341,469,212
204,299,255,293,341,472,213
204,301,256,293,342,473,215
207,302,257,293,342,476,215
207,303,258,294,344,478,217
208,304,259,294,344,479,217
209,306,260,295,346,479,219
210,307,260,296,348,480,219
210,311,260,296,349,483,219
211,312,261,298,352,483,220
212,312,265,298,352,487,222
215,312,266,298,352,491,223
217,316,269,299,353,493,226
217,320,269,299,355,499,226
218,321,269,299,357,500,227
219,322,272,299,357,501,227
222,322,273,299,357,501,228
222,325,274,299,359,503,229
222,325,276,299,360,506,229
222,329,277,300,360,506,229
223,330,277,301,361,507,231
225,330,277,301,363,507,231
226,333,279,301,363,509,231
227,334,279,302,366,511,233
228,336,280,302,367,513,235
228,336,284,303,369,513,235
228,339,285,303,370,513,236
229,340,285,304,370,515,236
230,341,286,305,371,520,237
231,343,287,306,372,521,237
232,345,288,306,373,522,238
232,345,289,306,373,523,238
232,346,291,307,374,524,238
232,348,292,308,374,524,239
233,349,295,308,374,524,240
234,350,296,309,374,526,241
234,350,296,309,377,527,241
234,352,297,309,377,527,241
235,354,297,309,378,527,241
235,355,298,310,379,529,241
236,357,298,311,380,529,241
237,359,298,312,380,529,242
237,366,299,312,383,535,244
238,367,300,312,385,536,245
238,368,300,313,387,538,245
238,371,302,315,388,540,245
239,373,302,317,389,541,246
239,375,302,318,392,542,247
239,375,303,320,393,543,248
240,375,304,320,398,549,248
240,378,305,325,400,550,248
241,380,306,327,400,552,250
241,382,307,327,401,553,251
242,382,312,327,402,553,251
242,384,312,327,403,553,251
243,386,312,329,404,556,252
243,389,312,330,405,556,253
243,393,313,330,407,556,254
244,394,316,331,407,559,255
245,396,317,331,407,561,255
245,397,319,333,407,561,256
245,397,321,333,408,565,256
246,398,321,333,408,565,257
246,401,321,334,408,568,257
248,401,322,334,409,571,258
248,405,323,335,410,571,258
248,406,323,336,410,572,259
252,407,323,336,410,573,259
253,409,323,336,410,575,260
254,410,326,336,413,575,261
254,414,326,337,413,575,263
254,419,327,339,417,576,263
255,420,328,341,419,576,263
255,427,328,342,420,579,263
255,427,328,343,420,580,263
256,431,329,344,420,583,263
256,432,329,345,420,583,265
257,433,330,346,421,584,265
257,434,331,347,422,585,265
258,436,331,347,422,588,265
258,439,332,348,424,588,268
259,439,332,349,424,590,270
259,439,332,349,425,591,271
260,441,333,349,426,593,271
261,443,333,349,427,594,271
261,444,335,350,427,597,272
261,446,335,350,427,597,272
262,447,336,350,431,598,274
264,452,338,351,431,601,274
264,452,338,352,435,601,275
264,454,339,352,436,601,275
265,459,339,352,437,602,277
265,462,339,353,439,602,278
266,463,340,354,439,603,278
266,464,340,354,440,604,278
266,465,342,354,441,604,278
267,465,342,356,441,607,279
267,466,343,358,442,607,280
268,473,344,358,443,607,281
269,473,345,359,443,608,281
269,473,345,360,443,611,283
270,474,345,360,443,614,285
271,478,346,361,444,617,286
271,478,346,361,445,621,287
271,481,349,362,446,621,287
271,481,349,363,447,624,288
271,481,349,364,448,625,289
272,486,349,364,448,625,289
273,500,350,364,448,625,289
273,501,351,364,452,628,290
273,507,351,364,452,630,290
273,509,351,365,452,632,291
273,511,353,365,453,633,292
273,511,353,365,453,633,292
274,513,353,365,455,633,293
275,518,356,366,456,634,293
275,522,356,366,456,635,294
275,522,356,367,456,638,295
275,523,358,368,456,638,297
276,526,358,369,457,638,298
276,528,359,370,457,641,299
277,531,359,371,457,642,300
279,534,360,373,458,646,300
279,536,363,373,458,648,300
280,537,363,375,458,649,300
280,537,364,375,460,649,301
280,539,365,375,460,649,301
280,540,366,376,461,655,302
281,547,366,376,461,655,305
281,552,367,379,462,658,305
